Participant,Signature,"Ratification, Accession(a), Succession(d)"
Afghanistan,30 Mar 1961,19 Mar 1963
Algeria,,7 Apr 1965 a
Angola,,26 Oct 2005 a
Antigua and Barbuda,,5 Apr 1993 a
Argentina,31 Jul 1961,10 Oct 1963
Australia,30 Mar 1961,1 Dec 1967
Austria,,1 Feb 1978 a
Azerbaijan,,11 Jan 1999 a
Bahamas,,13 Aug 1975 d
Bangladesh,,25 Apr 1975 a
Barbados,,21 Jun 1976 d
Belarus,31 Jul 1961,20 Feb 1964
Belgium,28 Jul 1961,17 Oct 1969
Benin,30 Mar 1961,27 Apr 1962
Botswana,,27 Dec 1984 a
Brazil,30 Mar 1961,18 Jun 1964
Brunei Darussalam,,25 Nov 1987 a
Bulgaria,31 Jul 1961,25 Oct 1968
Burkina Faso,,16 Sep 1969 a
Cambodia,30 Mar 1961,7 Jul 2005
Cameroon,,15 Jan 1962 a
Canada,30 Mar 1961,11 Oct 1961
Chad,30 Mar 1961,29 Jan 1963
Chile,30 Mar 1961,7 Feb 1968
Colombia,,3 Mar 1975 a
Congo,30 Mar 1961,3 Mar 2004
Costa Rica,30 Mar 1961,7 May 1970
Côte d'Ivoire,,10 Jul 1962 a
Croatia,,26 Jul 1993 d
Cuba,,30 Aug 1962 a
Cyprus,,30 Jan 1969 a
Czech Republic,,30 Dec 1993 d
Democratic People's Republic of Korea,,19 Mar 2007 a
Democratic Republic of the Congo,28 Apr 1961,19 Nov 1973
Denmark,30 Mar 1961,15 Sep 1964
Djibouti,,22 Feb 2001 a
Dominica,,24 Sep 1993 a
Dominican Republic,,26 Sep 1972 a
Ecuador,,14 Jan 1964 a
Egypt,30 Mar 1961,20 Jul 1966
El Salvador,30 Mar 1961,26 Feb 1998
Eritrea,,30 Jan 2002 a
Ethiopia,,29 Apr 1965 a
Fiji,,1 Nov 1971 d
Finland,30 Mar 1961,6 Jul 1965
France,,19 Feb 1969 a
Gabon,,29 Feb 1968 a
Gambia,,23 Apr 1996 a
Germany,31 Jul 1961,3 Dec 1973
Ghana,30 Mar 1961,15 Jan 1964
Greece,,6 Jun 1972 a
Guatemala,26 Jul 1961,1 Dec 1967
Guinea,,7 Oct 1968 a
Guinea-Bissau,,27 Oct 1995 a
Guyana,,15 Jul 2002 a
Haiti,3 Apr 1961,29 Jan 1973
Holy See,30 Mar 1961,1 Sep 1970
Honduras,,16 Apr 1973 a
Hungary,31 Jul 1961,24 Apr 1964
Iceland,,18 Dec 1974 a
India,30 Mar 1961,13 Dec 1964
Indonesia,28 Jul 1961,3 Sep 1976
Iran (Islamic Republic of),30 Mar 1961,30 Aug 1972
Iraq,30 Mar 1961,29 Aug 1962
Ireland,,16 Dec 1980 a
Israel,,23 Nov 1962 a
Italy,4 Apr 1961,14 Apr 1975
Jamaica,,29 Apr 1964 a
Japan,26 Jul 1961,13 Jul 1964
Jordan,30 Mar 1961,15 Nov 1962
Kazakhstan,,29 Apr 1997 a
Kenya,,13 Nov 1964 a
Kuwait,,16 Apr 1962 a
Kyrgyzstan,,7 Oct 1994 a
Lao People's Democratic Republic,,22 Jun 1973 a
Latvia,,16 Jul 1993 a
Lebanon,30 Mar 1961,23 Apr 1965
Lesotho,,4 Nov 1974 d
Liberia,30 Mar 1961,13 Apr 1987
Libya,,27 Sep 1978 a
Liechtenstein,14 Jul 1961,31 Oct 1979
Lithuania,,28 Feb 1994 a
Luxembourg,28 Jul 1961,27 Oct 1972
Madagascar,30 Mar 1961,20 Jun 1974
Malawi,,8 Jun 1965 a
Malaysia,,11 Jul 1967 a
Mali,,15 Dec 1964 a
Marshall Islands,,9 Aug 1991 a
Mauritius,,18 Jul 1969 d
Mexico,24 Jul 1961,18 Apr 1967
Micronesia (Federated States of),,29 Apr 1991 a
Monaco,,14 Aug 1969 a
Mongolia,,6 May 1991 a
Montenegro,,23 Oct 2006 d
Morocco,,4 Dec 1961 a
Mozambique,,8 Jun 1998 a
Myanmar,30 Mar 1961,29 Jul 1963
Netherlands,31 Jul 1961,16 Jul 1965
New Zealand,30 Mar 1961,26 Mar 1963
Nicaragua,30 Mar 1961,21 Jun 1973
Niger,,18 Apr 1963 a
Nigeria,30 Mar 1961,6 Jun 1969
Norway,30 Mar 1961,1 Sep 1967
Oman,,24 Jul 1987 a
Pakistan,30 Mar 1961,9 Jul 1965
Panama,30 Mar 1961,4 Dec 1963
Papua New Guinea,,28 Oct 1980 d
Paraguay,30 Mar 1961,3 Feb 1972
Peru,30 Mar 1961,22 Jul 1964
Philippines,30 Mar 1961,2 Oct 1967
Poland,31 Jul 1961,16 Mar 1966
Portugal,30 Mar 1961,30 Dec 1971
Republic of Korea,30 Mar 1961,13 Feb 1962
Republic of Moldova,,15 Feb 1995 a
Romania,,14 Jan 1974 a
Russian Federation,31 Jul 1961,20 Feb 1964
San Marino,,10 Oct 2000 a
Sao Tome and Principe,,20 Jun 1996 a
Saudi Arabia,,21 Apr 1973 a
Senegal,,24 Jan 1964 a
Serbia,,12 Mar 2001 d
Seychelles,,27 Feb 1992 a
Singapore,,15 Mar 1973 a
Slovakia,,28 May 1993 d
Solomon Islands,,17 Mar 1982 d
Somalia,,9 Jun 1988 a
South Africa,,16 Nov 1971 a
Spain,27 Jul 1961,1 Mar 1966
Sri Lanka,,11 Jul 1963 a
St. Kitts and Nevis,,9 May 1994 a
St. Lucia,,5 Jul 1991 d
St. Vincent and the Grenadines,,3 Dec 2001 d
Sudan,,24 Apr 1974 a
Suriname,,29 Mar 1990 d
Sweden,3 Apr 1961,18 Dec 1964
Switzerland,20 Apr 1961,23 Jan 1970
Syrian Arab Republic,,22 Aug 1962 a
Thailand,24 Jul 1961,31 Oct 1961
The former Yugoslav Republic of Macedonia,,13 Oct 1993 a
Togo,,6 May 1963 a
Tonga,,5 Sep 1973 d
Trinidad and Tobago,,22 Jun 1964 a
Tunisia,30 Mar 1961,8 Sep 1964
Turkey,,23 May 1967 a
Turkmenistan,,21 Feb 1996 a
Uganda,,15 Apr 1988 a
Ukraine,31 Jul 1961,15 Apr 1964
United Kingdom of Great Britain and Northern Ireland,30 Mar 1961,2 Sep 1964
United States of America,,25 May 1967 a
Uruguay,,31 Oct 1975 a
Venezuela (Bolivarian Republic of),30 Mar 1961,14 Feb 1969
Viet Nam,,14 Sep 1970 a
Zambia,,12 Aug 1965 a
Zimbabwe,,1 Dec 1998 d
