Participant,Signature,"Definitive signature(s), Ratification, Accession(a), Succession(d)"
Afghanistan,,21 May 1985 a
Albania,,24 Jan 2003 a
Algeria,,14 Jul 1978 a
Andorra,,13 Feb 2007 a
Angola,,26 Oct 2005 a
Antigua and Barbuda,,5 Apr 1993 a
Argentina,21 Feb 1971,16 Feb 1978
Armenia,,13 Sep 1993 a
Australia,23 Dec 1971,19 May 1982
Austria,,23 Jun 1997 a
Azerbaijan,,11 Jan 1999 a
Bahamas,,31 Aug 1987 a
Bahrain,,7 Feb 1990 a
Bangladesh,,11 Oct 1990 a
Barbados,,28 Jan 1975 a
Belarus,30 Dec 1971,15 Dec 1978
Belgium,,25 Oct 1995 a
Belize,,18 Dec 2001 a
Benin,,6 Nov 1973 a
Bhutan,,18 Aug 2005 a
Bolivia (Plurinational State of),,20 Mar 1985 a
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,,27 Dec 1984 a
Brazil,21 Feb 1971,14 Feb 1973
Brunei Darussalam,,24 Nov 1987 a
Bulgaria,,18 May 1972 a
Burkina Faso,,20 Jan 1987 a
Burundi,,18 Feb 1993 a
Cabo Verde,,24 May 1990 a
Cambodia,,7 Jul 2005 a
Cameroon,,5 Jun 1981 a
Canada,,10 Sep 1988 a
Central African Republic,,15 Oct 2001 a
Chad,,9 Jun 1995 a
Chile,21 Feb 1971,18 May 1972
China,,23 Aug 1985 a
Colombia,,12 May 1981 a
Comoros,,1 Mar 2000 a
Congo,,3 Mar 2004 a
Costa Rica,2 Sep 1971,16 Feb 1977
Côte d'Ivoire,,11 Apr 1984 a
Croatia,,26 Jul 1993 d
Cuba,,26 Apr 1976 a
Cyprus,,26 Nov 1973 a
Czech Republic,,30 Dec 1993 d
Democratic People's Republic of Korea,,19 Mar 2007 a
Democratic Republic of the Congo,,12 Oct 1977 a
Denmark,21 Feb 1971,18 Apr 1975
Djibouti,,22 Feb 2001 a
Dominica,,24 Sep 1993 a
Dominican Republic,,19 Nov 1975 a
Ecuador,,7 Sep 1973 a
Egypt,21 Feb 1971,14 Jun 1972
El Salvador,,11 Jun 1998 a
Eritrea,,30 Jan 2002 a
Estonia,,5 Jul 1996 a
Ethiopia,,23 Jun 1980 a
Fiji,,25 Mar 1993 a
Finland,15 Oct 1971,20 Nov 1972
France,17 Dec 1971,28 Jan 1975
Gabon,,14 Oct 1981 a
Gambia,,23 Apr 1996 a
Georgia,,8 Jan 1998 a
Germany,23 Dec 1971,2 Dec 1977
Ghana,21 Feb 1971,10 Apr 1990
Greece,21 Feb 1971,10 Feb 1977
Grenada,,25 Apr 1980 a
Guatemala,,13 Aug 1979 a
Guinea,,27 Dec 1990 a
Guinea-Bissau,,27 Oct 1995 a
Guyana,21 Feb 1971,4 May 1977
Holy See,21 Feb 1971,7 Jan 1976
Honduras,,23 May 2005 a
Hungary,30 Dec 1971,19 Jul 1979
Iceland,,18 Dec 1974 a
India,,23 Apr 1975 a
Indonesia,,19 Dec 1996 a
Iran (Islamic Republic of),21 Feb 1971,9 Aug 2000
Iraq,,17 May 1976 a
Ireland,,7 Aug 1992 a
Israel,,10 Jun 1993 a
Italy,,27 Nov 1981 a
Jamaica,,6 Oct 1989 a
Japan,21 Dec 1971,31 Aug 1990
Jordan,,8 Aug 1975 a
Kazakhstan,,29 Apr 1997 a
Kenya,,18 Oct 2000 a
Kuwait,,13 Jul 1979 a
Kyrgyzstan,,7 Oct 1994 a
Lao People's Democratic Republic,,22 Sep 1997 a
Latvia,,16 Jul 1993 a
Lebanon,21 Feb 1971,15 Dec 1994
Lesotho,,23 Apr 1975 a
Liberia,21 Feb 1971,
Libya,,24 Apr 1979 a
Liechtenstein,,24 Nov 1999 a
Lithuania,,28 Feb 1994 a
Luxembourg,,7 Feb 1991 a
Madagascar,,20 Jun 1974 a
Malawi,,9 Apr 1980 a
Malaysia,,22 Jul 1986 a
Maldives,,7 Sep 2000 a
Mali,,31 Oct 1995 a
Malta,,22 Feb 1990 a
Marshall Islands,,9 Aug 1991 a
Mauritania,,24 Oct 1989 a
Mauritius,,8 May 1973 a
Mexico,,20 Feb 1975 a
Micronesia (Federated States of),,29 Apr 1991 a
Monaco,21 Feb 1971,6 Jul 1977
Mongolia,,15 Dec 1999 a
Montenegro,,23 Oct 2006 d
Morocco,,11 Feb 1980 a
Mozambique,,8 Jun 1998 a
Myanmar,,21 Sep 1995 a
Namibia,,31 Mar 1998 a
Nepal,,9 Feb 2007 a
Netherlands,,8 Sep 1993 a
New Zealand,13 Sep 1971,7 Jun 1990
Nicaragua,,24 Oct 1973 a
Niger,,10 Nov 1992 a
Nigeria,,23 Jun 1981 a
Norway,,18 Jul 1975 a
Oman,,3 Jul 1997 a
Pakistan,,9 Jun 1977 a
Palau,,19 Aug 1998 a
Panama,,18 Feb 1972 a
Papua New Guinea,,20 Nov 1981 a
Paraguay,28 Jul 1971,3 Feb 1972
Peru,,28 Jan 1980 a
Philippines,,7 Jun 1974 a
Poland,30 Dec 1971,3 Jan 1975
Portugal,,20 Apr 1979 a
Qatar,,18 Dec 1986 a
Republic of Korea,,12 Jan 1978 a
Republic of Moldova,,15 Feb 1995 a
Romania,,21 Jan 1993 a
Russian Federation,30 Dec 1971,3 Nov 1978
Rwanda,21 Feb 1971,15 Jul 1981
San Marino,,10 Oct 2000 a
