Participant,"Participation in the Convention by virtue of ratification, accession or succession to the Protocol of 25 March 1972 or to the 1961 Convention after the entry into force of the Protocol","Accession(a), Succession(d), Ratification"
Albania,,14 Aug 2001 a
Algeria,26 Feb 2003,
Andorra,,13 Feb 2007 a
Angola,26 Oct 2005,
Antigua and Barbuda,5 Apr 1993,
Argentina,16 Nov 1973,
Armenia,,13 Sep 1993 a
Australia,22 Nov 1972,
Austria,1 Feb 1978,
Azerbaijan,11 Jan 1999,
Bahamas,23 Nov 1976,
Bahrain,,7 Feb 1990 a
Bangladesh,9 May 1980,
Barbados,21 Jun 1976,
Belarus,13 Sep 2001,
Belgium,13 Jun 1984,
Belize,,18 Dec 2001 a
Benin,6 Nov 1973,
Bhutan,,24 Aug 2005 a
Bolivia (Plurinational State of),,11 Jan 2013 a
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,27 Dec 1984,
Brazil,16 May 1973,
Brunei Darussalam,25 Nov 1987,
Bulgaria,18 Jul 1996,
Burkina Faso,,2 Jun 1992 a
Burundi,,18 Feb 1993 a
Cabo Verde,,24 May 1990 a
Cambodia,7 Jul 2005,
Cameroon,30 May 1974,
Canada,5 Aug 1976,
Central African Republic,,15 Oct 2001 a
Chile,19 Dec 1975,
China,,23 Aug 1985 a
Colombia,3 Mar 1975,
Comoros,,1 Mar 2000 a
Congo,3 Mar 2004,
Costa Rica,14 Feb 1973,
Côte d'Ivoire,28 Feb 1973,
Croatia,26 Jul 1993,
Cuba,14 Dec 1989,
Cyprus,30 Nov 1973,
Czech Republic,,30 Dec 1993 d
Democratic People's Republic of Korea,19 Mar 2007,
Democratic Republic of the Congo,15 Jul 1976,
Denmark,18 Apr 1975,
Djibouti,22 Feb 2001,
Dominica,24 Sep 1993,
Dominican Republic,21 Sep 1993,
Ecuador,25 Jul 1973,
Egypt,14 Jan 1974,
El Salvador,26 Feb 1998,
Eritrea,30 Jan 2002,
Estonia,,5 Jul 1996 a
Ethiopia,11 Oct 1994,
Fiji,21 Nov 1973,
Finland,12 Jan 1973,
France,4 Sep 1975,
Gabon,,14 Oct 1981 a
Gambia,23 Apr 1996,
