Participant,Signature,"Ratification, Accession(a), Acceptance(A), Approval(AA), Formal confirmation(c), Succession(d)"
Afghanistan,20 Dec 1988,14 Feb 1992
Albania,,27 Jun 2001 a
Algeria,20 Dec 1988,9 May 1995
Andorra,,23 Jul 1999 a
Angola,,26 Oct 2005 a
Antigua and Barbuda,,5 Apr 1993 a
Argentina,20 Dec 1988,28 Jun 1993
Armenia,,13 Sep 1993 a
Australia,14 Feb 1989,16 Nov 1992
Austria,25 Sep 1989,11 Jul 1997
Azerbaijan,,22 Sep 1993 a
Bahamas,20 Dec 1988,30 Jan 1989
Bahrain,28 Sep 1989,7 Feb 1990
Bangladesh,14 Apr 1989,11 Oct 1990
Barbados,,15 Oct 1992 a
Belarus,27 Feb 1989,15 Oct 1990
Belgium,22 May 1989,25 Oct 1995
Belize,,24 Jul 1996 a
Benin,,23 May 1997 a
Bhutan,,27 Aug 1990 a
Bolivia (Plurinational State of),20 Dec 1988,20 Aug 1990
Bosnia and Herzegovina,,1 Sep 1993 d
Botswana,,13 Aug 1996 a
Brazil,20 Dec 1988,17 Jul 1991
Brunei Darussalam,26 Oct 1989,12 Nov 1993
Bulgaria,19 May 1989,24 Sep 1992
Burkina Faso,,2 Jun 1992 a
Burundi,,18 Feb 1993 a
Cabo Verde,,8 May 1995 a
Cambodia,,7 Jul 2005 a
Cameroon,27 Feb 1989,28 Oct 1991
Canada,20 Dec 1988,5 Jul 1990
Central African Republic,,15 Oct 2001 a
Chad,,9 Jun 1995 a
Chile,20 Dec 1988,13 Mar 1990
China,20 Dec 1988,25 Oct 1989
Colombia,20 Dec 1988,10 Jun 1994
Comoros,,1 Mar 2000 a
Congo,,3 Mar 2004 a
Cook Islands,,22 Feb 2005 a
Costa Rica,25 Apr 1989,8 Feb 1991
Côte d'Ivoire,20 Dec 1988,25 Nov 1991
Croatia,,26 Jul 1993 d
Cuba,7 Apr 1989,12 Jun 1996
Cyprus,20 Dec 1988,25 May 1990
Czech Republic,,30 Dec 1993 d
Democratic People's Republic of Korea,,19 Mar 2007 a
Democratic Republic of the Congo,20 Dec 1988,28 Oct 2005
Denmark,20 Dec 1988,19 Dec 1991
Djibouti,,22 Feb 2001 a
Dominica,,30 Jun 1993 a
Dominican Republic,,21 Sep 1993 a
Ecuador,21 Jun 1989,23 Mar 1990
Egypt,20 Dec 1988,15 Mar 1991
El Salvador,,21 May 1993 a
Eritrea,,30 Jan 2002 a
Estonia,,12 Jul 2000 a
Ethiopia,,11 Oct 1994 a
European Union,8 Jun 1989,31 Dec 1990 c
Fiji,,25 Mar 1993 a
Finland,8 Feb 1989,15 Feb 1994 A
France,13 Feb 1989,31 Dec 1990 AA
Gabon,20 Dec 1989,10 Jul 2006
Gambia,,23 Apr 1996 a
Georgia,,8 Jan 1998 a
Germany,19 Jan 1989,30 Nov 1993
Ghana,20 Dec 1988,10 Apr 1990
Greece,23 Feb 1989,28 Jan 1992
Grenada,,10 Dec 1990 a
Guatemala,20 Dec 1988,28 Feb 1991
Guinea,,27 Dec 1990 a
Guinea-Bissau,,27 Oct 1995 a
Guyana,,19 Mar 1993 a
Haiti,,18 Sep 1995 a
Holy See,20 Dec 1988,25 Jan 2012
Honduras,20 Dec 1988,11 Dec 1991
Hungary,22 Aug 1989,15 Nov 1996
Iceland,,2 Sep 1997 a
India,,27 Mar 1990 a
Indonesia,27 Mar 1989,23 Feb 1999
Iran (Islamic Republic of),20 Dec 1988,7 Dec 1992
Iraq,,22 Jul 1998 a
Ireland,14 Dec 1989,3 Sep 1996
Israel,20 Dec 1988,20 Mar 2002
Italy,20 Dec 1988,31 Dec 1990 AA
Jamaica,2 Oct 1989,29 Dec 1995
Japan,19 Dec 1989,12 Jun 1992
Jordan,20 Dec 1988,16 Apr 1990
Kazakhstan,,29 Apr 1997 a
Kenya,,19 Oct 1992 a
Kuwait,2 Oct 1989,3 Nov 2000
Kyrgyzstan,,7 Oct 1994 a
Lao People's Democratic Republic,,1 Oct 2004 a
Latvia,,24 Feb 1994 a
Lebanon,,11 Mar 1996 a
Lesotho,,28 Mar 1995 a
Liberia,,16 Sep 2005 a
Libya,,22 Jul 1996 a
Liechtenstein,,9 Mar 2007 a
Lithuania,,8 Jun 1998 a
Luxembourg,26 Sep 1989,29 Apr 1992
Madagascar,,12 Mar 1991 a
Malawi,,12 Oct 1995 a
Malaysia,20 Dec 1988,11 May 1993
Maldives,5 Dec 1989,7 Sep 2000
Mali,,31 Oct 1995 a
Malta,,28 Feb 1996 a
Marshall Islands,,5 Nov 2010 a
Mauritania,20 Dec 1988,1 Jul 1993
Mauritius,20 Dec 1988,6 Mar 2001
