Participant,Signature,"Definitive signature(s), Acceptance(A), Succession(d)"
Afghanistan,,12 Nov 1947 s
Albania,,25 Jul 1949 A
Australia,,13 Nov 1947 s
Austria,,7 Jun 1950 s
Belgium,,12 Nov 1947 s
Brazil,17 Mar 1948,6 Apr 1950 A
Canada,,24 Nov 1947 s
China,,12 Nov 1947 s
Côte d'Ivoire,,5 Nov 1962 s
Cuba,,16 Mar 1981 A
Czech Republic,,30 Dec 1993 d
Denmark,12 Nov 1947,21 Nov 1949 A
Egypt,,12 Nov 1947 s
Finland,,6 Jan 1949 A
Germany,,29 May 1973 A
Greece,9 Mar 1951,5 Apr 1960 A
Hungary,,2 Feb 1950 s
India,,12 Nov 1947 s
Iran (Islamic Republic of),16 Jul 1953,
Ireland,,19 Jul 1961 A
Italy,,5 Jan 1949 A
Jamaica,,16 Mar 1965 A
Lebanon,,12 Nov 1947 s
Luxembourg,12 Nov 1947,14 Mar 1955 A
Malta,,27 Feb 1975 A
Mexico,,12 Nov 1947 s
Myanmar,,13 May 1949 s
Netherlands,12 Nov 1947,7 Mar 1949 A
Nicaragua,12 Nov 1947,24 Apr 1950 A
Niger,,7 Dec 1964 A
Norway,12 Nov 1947,28 Nov 1947 A
Pakistan,,12 Nov 1947 s
Poland,,21 Dec 1950 A
Romania,,2 Nov 1950 s
Russian Federation,,18 Dec 1947 s
Serbia,,12 Mar 2001 d
Sierra Leone,,13 Aug 1962 s
Singapore,,26 Oct 1966 A
Slovakia,,28 May 1993 d
South Africa,,12 Nov 1947 s
Sweden,,9 Jun 1948 s
Syrian Arab Republic,,17 Nov 1947 s
Turkey,,12 Nov 1947 s
