Participant,"Definitive signature of the Protocol, Acceptance of the Protocol, Succession to the Protocol","Accession to the Convention as amended by the Protocol(a), Succession to the Convention as amended by the Protocol(d)"
Afghanistan,12 Nov 1947,
Albania,25 Jul 1949,
Algeria,,31 Oct 1963 a
Australia,13 Nov 1947,
Austria,7 Jun 1950,
Belgium,12 Nov 1947,
Brazil,6 Apr 1950,
Canada,24 Nov 1947,
China,12 Nov 1947,
Cuba,16 Mar 1981,
Czech Republic,30 Dec 1993,
Denmark,21 Nov 1949,
Egypt,12 Nov 1947,
Finland,6 Jan 1949,
Germany,29 May 1973,
Greece,5 Apr 1960,
Hungary,2 Feb 1950,
India,12 Nov 1947,
Ireland,19 Jul 1961,
Italy,5 Jan 1949,
Jamaica,16 Mar 1965,
Lebanon,12 Nov 1947,
Libya,,17 Feb 1959 a
Luxembourg,14 Mar 1955,
Madagascar,,18 Feb 1963 a
Malawi,,25 Feb 1966 a
Malta,27 Feb 1975,
Mexico,12 Nov 1947,
Montenegro,,23 Oct 2006 d
Myanmar,13 May 1949,
Netherlands,7 Mar 1949,
Nicaragua,24 Apr 1950,
Norway,28 Nov 1947,
Pakistan,12 Nov 1947,
Philippines,,30 Sep 1954 a
Poland,21 Dec 1950,
Romania,2 Nov 1950,
Russian Federation,18 Dec 1947,
Serbia,,12 Mar 2001 d
Sierra Leone,13 Aug 1962,
Singapore,26 Oct 1966,
Slovakia,28 May 1993,
South Africa,12 Nov 1947,
Sweden,9 Jun 1948,
Syrian Arab Republic,17 Nov 1947,
Turkey,12 Nov 1947,
