Participant,"Definitive signature of the Protocol, Acceptance of the Protocol, Succession to the Protocol",Accession to the Convention as amended by the Protocol(a)
Afghanistan,12 Nov 1947,
Algeria,,31 Oct 1963 a
Australia,13 Nov 1947,
Austria,7 Jun 1950,
Belgium,12 Nov 1947,
Brazil,6 Apr 1950,
Côte d'Ivoire,5 Nov 1962,
Cuba,16 Mar 1981,
Czech Republic,30 Dec 1993,
Finland,6 Jan 1949,
Greece,5 Apr 1960,
Hungary,2 Feb 1950,
Ireland,19 Jul 1961,
Libya,,17 Feb 1959 a
Luxembourg,,14 Mar 1955 a
Madagascar,,12 Feb 1964 a
Mali,,2 Feb 1973 a
Mexico,12 Nov 1947,
Netherlands,7 Mar 1949,
Nicaragua,24 Apr 1950,
Niger,7 Dec 1964,
Norway,28 Nov 1947,
Philippines,,30 Sep 1954 a
Poland,21 Dec 1950,
Romania,2 Nov 1950,
Russian Federation,18 Dec 1947,
Singapore,,26 Oct 1966 a
Slovakia,28 May 1993,
South Africa,12 Nov 1947,
Sweden,9 Jun 1948,
Turkey,12 Nov 1947,
