Participant,Signature,"Definitive signature(s), Acceptance(A), Succession(d)"
Australia,,8 Dec 1949 s
Austria,,7 Jun 1950 s
Bahamas,,10 Jun 1976 d
Belgium,20 May 1949,13 Oct 1952 A
Brazil,4 May 1949,
Canada,,4 May 1949 s
Chile,,20 Jun 1949 s
China,,4 May 1949 s
Cuba,4 May 1949,4 Aug 1965 A
Czech Republic,,30 Dec 1993 d
Denmark,21 Nov 1949,1 Mar 1950 A
Egypt,9 May 1949,16 Sep 1949 A
Fiji,,12 Jun 1972 d
Finland,,31 Oct 1949 A
France,,5 May 1949 s
Germany,,29 May 1973 A
India,12 May 1949,28 Dec 1949 A
Iran (Islamic Republic of),28 Dec 1949,30 Dec 1959 A
Iraq,,1 Jun 1949 s
Ireland,,19 Jul 1961 A
Italy,,13 Nov 1952 A
Luxembourg,4 May 1949,14 Mar 1955 A
Netherlands,2 Jun 1949,26 Sep 1950 A
Norway,,4 May 1949 s
Pakistan,13 May 1949,16 Jun 1952 A
Serbia,,12 Mar 2001 d
Slovakia,,28 May 1993 d
South Africa,,14 Aug 1951 A
Sri Lanka,,14 Jul 1949 s
Sweden,,25 Feb 1952 s
Switzerland,,23 Sep 1949 A
Turkey,4 May 1949,13 Sep 1950 A
United Kingdom of Great Britain and Northern Ireland,,4 May 1949 s
United States of America,4 May 1949,14 Aug 1950 A
