Participant,"Definitive signature of the Protocol, Succession to the Convention and the Protocol, Acceptance of the Protocol, Acceptance ipso facto by virtue of article 10 (1) of the Convention of 12 September 1923, as amended(A)","Succession to the Convention as amended by the Protocol(d), Accession to the Convention as amended by the Protocol(a), Ratification of the Convention as amended by the Protocol"
Afghanistan,12 Nov 1947,
Albania,25 Jul 1949,
Australia,13 Nov 1947,
Austria,4 Aug 1950,
Belarus,,8 Sep 1998 d
Belgium,12 Nov 1947,
Brazil,3 Apr 1950,
Cambodia,,30 Mar 1959 a
Canada,24 Nov 1947,
China,12 Nov 1947,
Cuba,2 Dec 1983,
Cyprus,,16 May 1963 d
Czech Republic,,30 Dec 1993 d
Democratic Republic of the Congo,,31 May 1962 d
Denmark,21 Nov 1949,
Egypt,12 Nov 1947,
Fiji,1 Nov 1971,
Finland,6 Jan 1949,
Ghana,,7 Apr 1958 d
Greece,5 Apr 1960,
Guatemala,26 Aug 1949,
Haiti,,26 Aug 1953
Hungary,2 Feb 1950,
India,12 Nov 1947,
Ireland,28 Feb 1952,
Italy,16 Jun 1949,
Jamaica,,30 Jul 1964 d
Jordan,,11 May 1959 a
Lesotho,,28 Nov 1975 d
Liberia,16 Sep 2005 A,
Luxembourg,14 Mar 1955,
Madagascar,,10 Apr 1963 a
Malawi,,22 Jul 1965 a
Malaysia,,21 Aug 1958 d
Malta,,24 Mar 1967 d
Mauritius,,18 Jul 1969 d
Mexico,4 Feb 1948,
Montenegro,,23 Oct 2006 d
Myanmar,13 May 1949,
Netherlands,7 Mar 1949,
New Zealand,28 Oct 1948,
Nigeria,,26 Jun 1961 d
Norway,28 Nov 1947,
Pakistan,12 Nov 1947,
Poland,21 Dec 1950,
Romania,2 Nov 1950,
Russian Federation,18 Dec 1947,
Serbia,,12 Mar 2001 d
Sierra Leone,,13 Mar 1962 d
Slovakia,,28 May 1993 d
Solomon Islands,,3 Sep 1981 d
South Africa,12 Nov 1947,
Sri Lanka,,15 Apr 1958 a
Trinidad and Tobago,,11 Apr 1966 d
Turkey,12 Nov 1947,
United Kingdom of Great Britain and Northern Ireland,16 May 1949,
United Republic of Tanzania,,28 Nov 1962 a
Zambia,,1 Nov 1974 d
