Participant,"Acceptance(A), Definitive signature of the Protocol, Acceptance of the Protocol, Acceptance ipso facto by virtue of article 10 (1) of the Convention of 12 September 1923, as amended(A), Succession to the Agreement and the Protocol","Succession to the Agreement as amended by the Protocol(d), Accession to the Agreement as amended by the Protocol(a), Ratification of the Agreement as amended by the Protocol"
Australia,8 Dec 1949,
Austria,4 Aug 1950,
Belarus,,8 Sep 1998 d
Belgium,13 Oct 1952,
Cambodia,,30 Mar 1959 a
Canada,4 May 1949,
China,4 May 1949,
Cuba,2 Dec 1983,
Cyprus,,16 May 1963 d
Czech Republic,,30 Dec 1993 d
Democratic Republic of the Congo,,31 May 1962 d
Denmark,1 Mar 1950,
Egypt,16 Sep 1949,
Fiji,1 Nov 1971,
Finland,31 Oct 1949,
France,5 May 1949,
Ghana,,7 Apr 1958 d
Haiti,,26 Aug 1953
Iceland,25 Oct 1950,
India,28 Dec 1949,
Iran (Islamic Republic of),30 Dec 1959,
Iraq,14 Sep 1950,
Ireland,28 Feb 1952,
Italy,13 Nov 1952,
Jamaica,,30 Jul 1964 a
Jordan,,11 May 1959 a
Lesotho,,28 Nov 1975 d
Liberia,16 Sep 2005 A,
Luxembourg,14 Mar 1955,
Madagascar,,10 Apr 1963 a
Malawi,,22 Jul 1965 a
Malaysia,,31 Aug 1957 d
Malta,,24 Mar 1967 d
Mauritius,,18 Jul 1969 d
Mexico,22 Jul 1952,
Montenegro,,23 Oct 2006 d
Myanmar,,13 May 1949 a
Netherlands,26 Sep 1950,
New Zealand,14 Oct 1950,
Nigeria,,26 Jun 1961 d
Norway,4 May 1949,
Pakistan,4 May 1951,
Romania,2 Nov 1950,
Russian Federation,14 May 1949,
Serbia,,12 Mar 2001 d
Sierra Leone,,13 Mar 1962 d
Slovakia,,28 May 1993 d
Solomon Islands,,3 Sep 1981 d
South Africa,1 Sep 1950,
Sri Lanka,14 Jul 1949,
Switzerland,23 Sep 1949,
Trinidad and Tobago,,11 Apr 1966 d
Turkey,13 Sep 1950,
United Kingdom of Great Britain and Northern Ireland,4 May 1949,
United Republic of Tanzania,,28 Nov 1962 a
United States of America,14 Aug 1950,
Zambia,,1 Nov 1974 d
