Participant,Acceptance(A)
Afghanistan,10 Aug 2005 A
Algeria,14 Sep 1987 A
Andorra,30 Apr 2001 A
Argentina,10 Jul 2002 A
Australia,29 Sep 1981 A
Austria,15 Sep 2005 A
Bahamas,16 Aug 2005 A
Bahrain,19 May 1982 A
Bangladesh,24 Mar 2000 A
Belgium,1 Feb 1980 A
Belize,10 Oct 2003 A
Bhutan,14 Apr 1999 A
Bolivia (Plurinational State of),22 Dec 2004 A
Botswana,4 Oct 2004 A
Brazil,9 May 2002 A
Brunei Darussalam,7 Feb 2007 A
Burkina Faso,26 Aug 2005 A
Cambodia,12 Apr 2006 A
Canada,29 Apr 1999 A
Cape Verde,26 Nov 1979 A
China,1 Dec 2005 A
Colombia,29 Jan 2008 A
Cook Islands,14 Feb 2000 A
Croatia,29 Jun 2000 A
Cuba,21 Nov 2002 A
Cyprus,3 Apr 1987 A
Czech Republic,12 Nov 2002 A
Djibouti,30 Mar 2005 A
Dominica,13 Aug 1998 A
Ecuador,29 Aug 2006 A
Egypt,4 Mar 1981 A
Estonia,9 Mar 2005 A
Ethiopia,5 Jul 2000 A
Fiji,9 Feb 1999 A
Finland,15 May 1980 A
France,6 Oct 1980 A
Greece,7 Dec 1998 A
Guatemala,12 Feb 1980 A
Honduras,28 Nov 2006 A
Iceland,22 Jul 1983 A
India,2 Oct 2003 A
Iran (Islamic Republic of),3 May 2002 A
Iraq,17 Sep 1984 A
Ireland,26 Jun 2002 A
Jamaica,20 Dec 2001 A
Jordan,30 Aug 1982 A
Kuwait,2 Jan 1980 A
Lebanon,10 Jan 1986 A
Liberia,16 Sep 2005 A
Libya,20 Apr 1981 A
Luxembourg,22 Jun 1982 A
Madagascar,16 Sep 1999 A
Malawi,3 Jul 1979 A
Malaysia,19 Aug 2002 A
Maldives,6 May 1999 A
Malta,29 Mar 2000 A
Marshall Islands,23 May 2006 A
Mauritania,27 May 1982 A
Mauritius,12 Sep 2000 A
Mexico,20 Jun 2001 A
Micronesia (Federated States of),17 Nov 2006 A
Monaco,3 Feb 1983 A
Mongolia,5 May 2005 A
Morocco,2 Mar 1987 A
Mozambique,9 Jul 1998 A
Myanmar,20 Oct 2003 A
Namibia,21 Sep 2004 A
Nauru,6 Aug 1998 A
Nepal,22 Aug 2003 A
Netherlands,5 Jan 1982 A
New Zealand,16 Jun 2000 A
Niger,18 Apr 1979 A
Niue,12 Oct 1998 A
Norway,18 Apr 1979 A
Oman,18 Jul 1985 A
Pakistan,23 Jun 2000 A
Palau,7 Oct 2003 A
Panama,16 Aug 2004 A
Paraguay,11 Apr 2005 A
Philippines,1 Oct 2004 A
Portugal,7 Jan 2005 A
Qatar,25 Apr 1985 A
Russian Federation,1 Apr 1982 A
Samoa,19 Aug 1998 A
San Marino,28 Oct 1980 A
Saudi Arabia,30 Oct 1978 A
Serbia,28 Dec 2004 A
Seychelles,6 Oct 2004 A
Singapore,17 Apr 1979 A
Slovakia,11 May 2005 A
Slovenia,5 Feb 2004 A
Somalia,24 Jan 2006 A
Spain,26 Sep 2001 A
St. Kitts and Nevis,7 Jul 2004 A
Sudan,12 Feb 1999 A
Sweden,13 Aug 2001 A
Switzerland,13 Nov 1998 A
Syrian Arab Republic,18 Dec 1979 A
Thailand,22 Jul 1998 A
The former Yugoslav Republic of Macedonia,9 Mar 1999 A
Togo,15 Dec 1998 A
Trinidad and Tobago,18 Oct 2004 A
Tunisia,30 Sep 1983 A
Uganda,29 May 2002 A
United Arab Emirates,18 Aug 1982 A
United Kingdom of Great Britain and Northern Ireland,16 Dec 2004 A
United Republic of Tanzania,23 Sep 1998 A
United States of America,10 Dec 1980 A
Uruguay,7 Nov 2007 A
Uzbekistan,23 Apr 2004 A
Viet Nam,4 Jun 1999 A
Yemen,8 Mar 1982 A
