Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Ratification"
Belgium,17 May 2013,
Benin,24 Sep 2013,
Botswana,1 Oct 2013,
Burkina Faso,8 Mar 2013,
China,10 Jan 2013,
Colombia,21 Feb 2013,
Costa Rica,21 Mar 2013,
Côte d'Ivoire,24 Sep 2013,
Ecuador,25 Sep 2013,
Fiji,11 Jul 2013,
Finland,25 Sep 2013,
France,10 Jan 2013,
Gabon,10 Jan 2013,
Germany,1 Oct 2013,
Ghana,24 Sep 2013,
Greece,9 Jul 2013,
Guinea-Bissau,24 Sep 2013,
Kenya,29 May 2013,
Libya,10 Jan 2013,
Lithuania,6 Sep 2013,
Madagascar,25 Sep 2013,
Montenegro,1 Jul 2013,
Myanmar,10 Jan 2013,
Nicaragua,10 Jan 2013,
Norway,16 Oct 2013,
Panama,10 Jan 2013,
Qatar,18 Jun 2013,
Republic of Korea,10 Jan 2013,
South Africa,10 Jan 2013,
Sudan,30 Sep 2013,
Syrian Arab Republic,10 Jan 2013,
Tunisia,11 Jan 2013,
Turkey,10 Jan 2013,
United Republic of Tanzania,24 Sep 2013,
Uruguay,10 Jan 2013,
